photo_ID,region,marina,company,photo_type,day,month,year,M_mahi_gaffers,F_mahi_gaffers,mahi_gaffers,mahi_bailers,wahoo,Blackfin Tuna,Kingfish,Bonita,Blue Runners,Yellowtail Snapper,African Pompano,Tripletail,Rainbow Runner,Amberjack/Banded Rudderfish/Almaco Jack,Cero/Spanish Mackerel,Red Grouper,Skipjack Tuna,Golden/Blueline Tilefish,Mangrove_Snapper,Mutton Snapper,Vermillion Snapper,Cobia,Black/Gag Grouper/Unidentified,Yellow Jack,Blackbelly Rosefish,Barracuda,Snowy Grouper,Silk Snapper,Porgies,Red Snapper,Sailfish,Atlantic Bonito,Triggerfish,Lane_Snapper,Bluefish,Jack Crevalle,Cubera Snapper,Swordfish,Notes
Jun18th2019.jpg,Keys,Marathon,Two Conchs,Layout,18,6,2019,1,,,40,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,could be 1-5 more
Jun19st2019 (3).jpg,Keys,Marathon,Two Conchs,Layout,19,6,2019,,1,,20,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Jun19th2019 (2).jpg,Keys,Marathon,Two Conchs,Layout,19,6,2019,,,,14,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun21st2019.jpg,Keys,Marathon,Two Conchs,Layout,21,6,2019,,,,10,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun22nd2019.jpg,Keys,Marathon,Two Conchs,Layout,22,6,2019,1,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun23rd2019.jpg,Keys,Marathon,Two Conchs,Layout,23,6,2019,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun24th2019.jpg,Keys,Marathon,Two Conchs,Layout,24,6,2019,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun26th2019.jpg,Keys,Marathon,Two Conchs,Layout,26,6,2019,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun28th2019.jpg,Keys,Marathon,Two Conchs,Layout,28,6,2019,,,,12,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul1st2019.jpg,Keys,Marathon,Two Conchs,Layout,1,7,2019,,,,23,,,,,,,,2,,1,,,,,1,1,,,1,,,,,,,,,,,,,,,,
