"photo_ID","region","marina","company","photo_type","day","month","year","M_mahi_gaffers","F_mahi_gaffers","Unk_Mahi","mahi_bailers","wahoo","Kingfish","Bonita","Blue_Runners","Yellowtail_Snapper","African_Pompano","Tripletail","Rainbow_Runner","Amberjack_Complex","Spanish_Mackerel","Tilefish","Mangrove_Snapper","Mutton_Snapper","Vermillion_Snapper","Cobia","Yellow_Jack","Blackbelly_Rosefish","Barracuda","Silk_Snapper","Porgies","Red_Snapper","Sailfish","Atlantic Bonito","Triggerfish","Lane_Snapper","Bluefish","Jack_Crevalle","Cubera_Snapper","Swordfish","tunas","groupers"
"Jul2nd2019.jpg","South Florida","Deerfield Beach","Bolo Sportfishing","Layout",2,7,2019,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jun11th2019.jpg","South Florida","Deerfield Beach","Bolo Sportfishing","Layout",11,6,2019,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0
"Jul21st2019.jpg","Keys","Islamorada","Dirty Boat Fishing","Layout",21,7,2019,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Apr22nd2019.jpg","Keys","Islamorada","First Choice Charters","",22,4,2019,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feb18th2019.jpg","South Florida","Pompano Beach","Naughty Girl Sportfishing","Layout",18,2,2019,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
"Jun20th2019.jpg","Keys","Islamorada","Dirty Boat Fishing","Layout",20,6,2019,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"May29th2019.jpg","Keys","Marathon","Two Conchs","Layout",29,5,2019,1,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Jun1st2020.jpg","South Florida","Deerfield Beach","Bolo Sportfishing","Layout",1,6,2020,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dec6th2019(2).jpg","South Florida","Deerfield Beach","Bolo Sportfishing","Layout",6,12,2019,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"May1st2018.jpg","South Florida","Jupiter","Samana charters","Layout",1,5,2018,0,0,0,15,0,2,0,0,1,0,0,0,0,0,0,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"81420","South Florida","Miami","Cool Runnings","Layout",14,8,2020,0,0,5,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Jul10th2019.jpg","Keys","Marathon","Two Conchs","Layout",10,7,2019,1,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
"71220","Keys","Islamorada","Tekeze Charters","boat",12,7,2020,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"71218","South Florida","Riviera Beach","Right Hook Fishing Charters","Layout",12,7,2018,1,0,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mar21st2019.jpg","South Florida","Ft. Lauderdale","Fishing Headquarters","Layout",21,3,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mar8th2019.jpg","South Florida","Pompano Beach","Naughty Girl Sportfishing","Layout",8,3,2019,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
"Apr3rd2017.jpg","South Florida","Miami","Sea Cross","Layout",3,4,2017,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0
"Jul13th2017.jpg","Keys","Islamorada","Fearless Fishing","Layout",13,7,2017,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
