photo_ID,region,marina,company,photo_type,day,month,year,M_mahi_gaffers,F_mahi_gaffers,mahi_bailers,wahoo,Blackfin Tuna,Kingfish,Bonita,Blue Runners,Yellowtail Snapper,African Pompano,Tripletail,Rainbow Runner,Amberjack/Banded Rudderfish/Almaco Jack,Cero/Spanish Mackerel,Red Grouper,Skipjack Tuna,Golden Tilefish,Mangrove_Snapper,Mutton Snapper,Vermillion Snapper,Black Grouper,Yellow Jack,Blackbelly Rosefish,Barracuda,Snowy Grouper,Silk Snapper,Porgies,Red Snapper,Sailfish,Atlantic Bonito,Triggerfish,Notes
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,2,10,2019,1,,14,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,2,10,2019,1,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,3,10,2019,1,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,3,10,2019,,,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,4,10,2019,1,,,,,,7,,,,,1,,,,,,,,,,,,,,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,4,10,2019,,1,,,,,4,,,,,,1,,,,,,,8,,,,1,,,1,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,4,10,2019,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,7,10,2019,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,7,10,2019,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,9,10,2019,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,15,10,2019,1,2,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,15,10,2019,,1,2,,,,,,,,,,,,,,,,,1,2,,2,,,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,17,10,2019,,1,,1,,,,,,,,,,,,,,,,2,,,,,,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,21,10,2019,,,5,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,22,10,2019,,,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,25,10,2019,,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,28,10,2019,,,10,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,30,10,2019,,1,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,1,11,2019,,,1,1,10,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
